"ID","SongName","Performer","CivilDate","HebrewDate","Composer","Poet","MusicalAdapter","Others","PlaceOfPublication","NameOfPublisher"
"003680366","קרן אור תבוא","משה חיים","1997","","","הראל-חיימוב יורם","חרד יגאל","","",""
"003680367","הנחלים את שמך רושמים","משה חיים","1997","","","וינקלר-לופנפלד לאה","חרד יגאל","","",""
"003680368","התפללי ילדתי","משה חיים","1997","","","חיטמן עוזי","חרד יגאל","","",""
"003680372","אמרי לי מי","ברוזה דויד","2002","","","קמחי אלונה, שטרית מיכה","אשדות יזהר, ברוזה דויד","","",""
"003680373","מרפסות","ברוזה דויד","2002","","ברוזה דויד, שטרית מיכה","שטרית מיכה","אשדות יזהר","","",""
"003680374","עכשיו מחר","ברוזה דויד","2002","","ברוזה דויד, אשדות יזהר","כהנא גלעד","אשדות יזהר","","",""
"003680375","סרבנד","ברוזה דויד","2002","","אשדות יזהר, ברוזה דויד","","אשדות יזהר","","",""
"003680376","הולך ממקום למקום","ברוזה דויד","2002","","ברוזה דויד","גפן יהונתן","אשדות יזהר","","",""
"003680377","אבק של החיים","ברוזה דויד","2002","","ברוזה דויד, אשדות יזהר","נחמיאס-גלס איתן","לוי משה","","",""
"003680378","מלח ים","ברוזה דויד","2002","","ברוזה דויד","אריאל מאיר","אשדות יזהר, רוט פיטר","","",""
"003680379","עוד מעט","ברוזה דויד","2002","","ברוזה דויד, אשדות יזהר","חנוך שלום","לוי משה","","",""
"003680380","משיח","פישר דודו","1995","","רוזנבלום משה מרדכי, מרדכי בן דוד","","קריבושי דוד","","",""
"003680381","ארוממך","פישר דודו","1995","","סירוטקין ראובן","","קריבושי דוד","","",""
"003680382","שתחדש עלינו","פישר דודו","1995","","לאופר משה","","שרים אלדד","","",""
"003680383","כי ניחם ה ציון","פישר דודו","1995","","","","","","",""
"003680385","מחרוזת שירי ירושלים","פישר דודו","1995","","","","","","",""
"003680386","אלוקי נשמה","פישר דודו","1995","","לאופר משה","","שרים אלדד","","",""
"003680387","אז ישיר","פישר דודו","1995","","קריבושי דוד","","","","",""
"003680389","רבונו של עולם","פישר דודו","1995","","רוזנבלום משה מרדכי","","קריבושי דוד","","",""
"003680390","אליהו הנביא","פישר דודו","1995","","","","","","",""
"003680391","מחרוזת שירי קרליבך","פישר דודו","1995","","","","","","",""
"003680392","לשם יחוד","אנגלמן יהושע","1998","","אנגלמן יהושע","","","","",""
"003680393","שיר השירים","אנגלמן יהושע","1998","","אנגלמן יהושע","","אפרת עובד","","",""
"003680394","קול דודי","אנגלמן יהושע","1998","","אנגלמן יהושע","","אפרת עובד","","",""
"003680395","קומי לך","אנגלמן יהושע","1998","","אנגלמן יהושע","","אפרת עובד","","",""
"003680396","פתחי לי","אנגלמן יהושע","1998","","אנגלמן יהושע","","אפרת עובד","","",""
"003680397","חולת אהבה","אנגלמן יהושע","1998","","אנגלמן יהושע","","אפרת עובד","","",""
"003680398","אני לדודי ודודי לי","אנגלמן יהושע","1998","","אנגלמן יהושע","","אפרת עובד","","",""
"003680399","שובי שובי","אנגלמן יהושע","1998","","אנגלמן יהושע","","אפרת עובד","","",""
"003680400","תחבקני","אנגלמן יהושע","1998","","אנגלמן יהושע","","אפרת עובד","","",""
"003680401","שימני","אנגלמן יהושע","1998","","אנגלמן יהושע","","אנגלמן יהושע","","",""
"003680402","ברח דודי","אנגלמן יהושע","1998","","אנגלמן יהושע","","אפרת עובד","","",""
"003680403","צ'יריבים","זוהר ישראל","1992","","","","אסנר חיים","","",""
